Customer First Name,Customer Last Name,EMAIL
Luís,Gonçalves,luisg@embraer.com.br
Leonie,Köhler,leonekohler@surfeu.de
François,Tremblay,ftremblay@gmail.com
Bjørn,Hansen,bjorn.hansen@yahoo.no
František,Wichterlová,frantisekw@jetbrains.com
Helena,Holý,hholy@gmail.com
Astrid,Gruber,astrid.gruber@apple.at
Daan,Peeters,daan_peeters@apple.be
Kara,Nielsen,kara.nielsen@jubii.dk
Eduardo,Martins,eduardo@woodstock.com.br
Alexandre,Rocha,alero@uol.com.br
Roberto,Almeida,roberto.almeida@riotur.gov.br
Fernanda,Ramos,fernadaramos4@uol.com.br
Mark,Philips,mphilips12@shaw.ca
Jennifer,Peterson,jenniferp@rogers.ca
Frank,Harris,fharris@google.com
Jack,Smith,jacksmith@microsoft.com
Michelle,Brooks,michelleb@aol.com
Tim,Goyer,tgoyer@apple.com
Dan,Miller,dmiller@comcast.com
Kathy,Chase,kachase@hotmail.com
Heather,Leacock,hleacock@gmail.com
John,Gordon,johngordon22@yahoo.com
Frank,Ralston,fralston@gmail.com
Victor,Stevens,vstevens@yahoo.com
Richard,Cunningham,ricunningham@hotmail.com
Patrick,Gray,patrick.gray@aol.com
Julia,Barnett,jubarnett@gmail.com
Robert,Brown,robbrown@shaw.ca
Edward,Francis,edfrancis@yachoo.ca
Martha,Silk,marthasilk@gmail.com
Aaron,Mitchell,aaronmitchell@yahoo.ca
Ellie,Sullivan,ellie.sullivan@shaw.ca
João,Fernandes,jfernandes@yahoo.pt
Madalena,Sampaio,masampaio@sapo.pt
Hannah,Schneider,hannah.schneider@yahoo.de
Fynn,Zimmermann,fzimmermann@yahoo.de
Niklas,Schröder,nschroder@surfeu.de
Camille,Bernard,camille.bernard@yahoo.fr
Dominique,Lefebvre,dominiquelefebvre@gmail.com
Marc,Dubois,marc.dubois@hotmail.com
Wyatt,Girard,wyatt.girard@yahoo.fr
Isabelle,Mercier,isabelle_mercier@apple.fr
Terhi,Hämäläinen,terhi.hamalainen@apple.fi
Ladislav,Kovács,ladislav_kovacs@apple.hu
Hugh,O'Reilly,hughoreilly@apple.ie
Lucas,Mancini,lucas.mancini@yahoo.it
Johannes,Van der Berg,johavanderberg@yahoo.nl
Stanisław,Wójcik,stanisław.wójcik@wp.pl
Enrique,Muñoz,enrique_munoz@yahoo.es
Joakim,Johansson,joakim.johansson@yahoo.se
Emma,Jones,emma_jones@hotmail.com
Phil,Hughes,phil.hughes@gmail.com
Steve,Murray,steve.murray@yahoo.uk
Mark,Taylor,mark.taylor@yahoo.au
Diego,Gutiérrez,diego.gutierrez@yahoo.ar
Luis,Rojas,luisrojas@yahoo.cl
Manoj,Pareek,manoj.pareek@rediff.com
Puja,Srivastava,puja_srivastava@yahoo.in
John,Doeein,
