Customer First Name,Customer Last Name,EMAIL
Aaron,Mitchell,aaronmitchell@yahoo.ca
Alexandre,Rocha,alero@uol.com.br
Astrid,Gruber,astrid.gruber@apple.at
Bjørn,Hansen,bjorn.hansen@yahoo.no
Camille,Bernard,camille.bernard@yahoo.fr
Daan,Peeters,daan_peeters@apple.be
Dan,Miller,dmiller@comcast.com
Diego,Gutiérrez,diego.gutierrez@yahoo.ar
Dominique,Lefebvre,dominiquelefebvre@gmail.com
Eduardo,Martins,eduardo@woodstock.com.br
Edward,Francis,edfrancis@yachoo.ca
Ellie,Sullivan,ellie.sullivan@shaw.ca
Emma,Jones,emma_jones@hotmail.com
Enrique,Muñoz,enrique_munoz@yahoo.es
Fernanda,Ramos,fernadaramos4@uol.com.br
Frank,Ralston,fralston@gmail.com
Frank,Harris,fharris@google.com
František,Wichterlová,frantisekw@jetbrains.com
François,Tremblay,ftremblay@gmail.com
Fynn,Zimmermann,fzimmermann@yahoo.de
Hannah,Schneider,hannah.schneider@yahoo.de
Heather,Leacock,hleacock@gmail.com
Helena,Holý,hholy@gmail.com
Hugh,O'Reilly,hughoreilly@apple.ie
Isabelle,Mercier,isabelle_mercier@apple.fr
Jack,Smith,jacksmith@microsoft.com
Jennifer,Peterson,jenniferp@rogers.ca
Joakim,Johansson,joakim.johansson@yahoo.se
Johannes,Van der Berg,johavanderberg@yahoo.nl
John,Gordon,johngordon22@yahoo.com
John,Doeein,
João,Fernandes,jfernandes@yahoo.pt
Julia,Barnett,jubarnett@gmail.com
Kara,Nielsen,kara.nielsen@jubii.dk
Kathy,Chase,kachase@hotmail.com
Ladislav,Kovács,ladislav_kovacs@apple.hu
Leonie,Köhler,leonekohler@surfeu.de
Lucas,Mancini,lucas.mancini@yahoo.it
Luis,Rojas,luisrojas@yahoo.cl
Luís,Gonçalves,luisg@embraer.com.br
Madalena,Sampaio,masampaio@sapo.pt
Manoj,Pareek,manoj.pareek@rediff.com
Marc,Dubois,marc.dubois@hotmail.com
Mark,Taylor,mark.taylor@yahoo.au
Mark,Philips,mphilips12@shaw.ca
Martha,Silk,marthasilk@gmail.com
Michelle,Brooks,michelleb@aol.com
Niklas,Schröder,nschroder@surfeu.de
Patrick,Gray,patrick.gray@aol.com
Phil,Hughes,phil.hughes@gmail.com
Puja,Srivastava,puja_srivastava@yahoo.in
Richard,Cunningham,ricunningham@hotmail.com
Robert,Brown,robbrown@shaw.ca
Roberto,Almeida,roberto.almeida@riotur.gov.br
Stanisław,Wójcik,stanisław.wójcik@wp.pl
Steve,Murray,steve.murray@yahoo.uk
Terhi,Hämäläinen,terhi.hamalainen@apple.fi
Tim,Goyer,tgoyer@apple.com
Victor,Stevens,vstevens@yahoo.com
Wyatt,Girard,wyatt.girard@yahoo.fr
